code,name_en,name_short_en,name_es,name_short_es,continent_code,total_export
SVN,Slovenia,Slovenia,Eslovenia (Republica De),Eslovenia ,4,70136600
SWE,Sweden,Sweden,Suecia (Reino De),Suecia,4,896142848
SWZ,Swaziland,Swaziland,Swazilandia (Reino De),Swazilandia,1,19966662
SYC,Seychelles,Seychelles,Seychelles (Republica De Las),Seychelles,1,1666776.625
SYR,Syrian Arab Republic,Syrian Arab Republic,Siria (Republica Arabe),Siria,2,42796936
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turcas Y Caicos (Islas),Turcas Y Caicos,8,5260619
TCD,Chad,Chad,Chad (Republica Del),Chad,1,2062716
TGO,Togo,Togo,Togo (Republica Togolesa),Togo,1,6593689
THA,Thailand,Thailand,Tailandia (Reino De),Tailandia,2,2158390272
TJK,Tajikistan,Tajikistan,Tadjikistan (Republica De),Tadjikistan ,2,259314.7031
TKL,Tokelau,Tokelau,Islas Tokelau,Islas Tokelau,3,
TKM,Turkmenistan,Turkmenistan,Turkmenistan (Republica De),Turkmenistan ,2,7753349
TMP,Timor-Leste,Timor-Leste,Timor Oriental,Timor Oriental,2,114000
TON,Tonga,Tonga,Tonga (Reino De),Tonga,3,2115200.5
TTO,Trinidad and Tobago,Trinidad and Tobago,Trinidad Y Tobago (Republica De),Trinidad y Tobago ,8,727296896
TUN,Tunisia,Tunisia,Tunez (Republica De),Tunez ,1,195906752
TUR,Turkey,Turkey,Turquia (Republica De),Turquia ,2,1711535360
TUV,Tuvalu,Tuvalu,Tuvalu (Comunidad Britanica De Naciones),Tuvalu,3,27715.69141
TWN,"Taiwan, Province of China",Taiwan,Taiwan (Republica De China),Taiwan,2,2936680192
TZA,"Tanzania, United Republic of",Tanzania,Tanzania (Republica Unida De),Tanzania,1,15420687
UGA,Uganda,Uganda,Uganda (Republica De),Uganda ,1,7676863
UKR,Ukraine,Ukraine,Ucrania,Ucrania,4,515761664
URY,Uruguay,Uruguay,Uruguay (Republica Oriental Del),Uruguay,6,1722341888
USA,United States of America,United States of America,Estados Unidos De America,Estados Unidos De America,5,2133364047872
UZB,Uzbekistan,Uzbekistan,Uzbejistan (Republica De),Uzbejistan ,2,25833308
