code	level	name_en	name_short_en	name_es	name_short_es
6232	class	Residential care facilities for persons with mental retardation, mental disorder and addictions	Residential care facilities for persons with mental retardation, mental disorder and addictions	Residencias para el cuidado de personas con problemas de retardo mental, trastorno mental y adicciones	Residencias para el cuidado de personas con problemas de retardo mental, trastorno mental y adicciones
6233	class	Homes and other residential care facilities for the elderly	Homes and other residential care facilities for the elderly	Asilos y otras residencias para el cuidado de ancianos	Asilos y otras residencias para el cuidado de ancianos
6239	class	Orphanages and other social assistance residential care facilities	Orphanages and other social assistance residential care facilities	Orfanatos y otras residencias de asistencia social	Orfanatos y otras residencias de asistencia social
6241	class	Guidance and social work services	Guidance and social work services	Servicios de orientacion y trabajo social	Servicios de orientacion y trabajo social
6242	class	Community food, housing and emergency services	Community food, housing and emergency services	Servicios comunitarios de alimentacion, refugio y emergencia	Servicios comunitarios de alimentacion, refugio y emergencia
6243	class	Job training services for unemployed, underemployed or disabled persons	Job training services for unemployed, underemployed or disabled persons	Servicios de capacitacion para el trabajo para personas desempleadas, subempleadas o discapacitadas	Servicios de capacitacion para el trabajo para personas desempleadas, subempleadas o discapacitadas
6244	class	Nurseries	Nurseries	Guarderias	Guarderias
7111	class	Performing arts companies and groups	Performing arts companies and groups	Companias y grupos de espectaculos artisticos y culturales	Companias y grupos de espectaculos artisticos y culturales
7112	class	Professional athletes and sports teams	Professional athletes and sports teams	Deportistas y equipos deportivos profesionales	Deportistas y equipos deportivos profesionales
7113	class	Promoters of performing arts, sports and similar events	Promoters of performing arts, sports and similar events	Promotores de espectaculos artisticos, culturales, deportivos y similares	Promotores de espectaculos artisticos, culturales, deportivos y similares
7114	class	Agents and managers for artists, athletes and similar figures	Agents and managers for artists, athletes and similar figures	Agentes y representantes de artistas, deportistas y similares	Agentes y representantes de artistas, deportistas y similares
7115	class	Independent artists, writers and technicians	Independent artists, writers and technicians	Artistas, escritores y tecnicos independientes	Artistas, escritores y tecnicos independientes
7121	class	Museums, historical sites, zoos and similar institutions	Museums, historical sites, zoos and similar institutions	Museos, sitios historicos, zoologicos y similares	Museos, sitios historicos, zoologicos y similares
7131	class	Parks with recreational facilities and amusement arcades	Parks with recreational facilities and amusement arcades	Parques con instalaciones recreativas y casas de juegos electronicos	Parques con instalaciones recreativas y casas de juegos electronicos
7132	class	Casinos, lotteries and other gambling services	Casinos, lotteries and other gambling services	Casinos, loterias y otros juegos de azar	Casinos, loterias y otros juegos de azar
7139	class	Other recreational services	Other recreational services	Otros servicios recreativos	Otros servicios recreativos
7211	class	Hotels, motels and similar facilities	Hotels, motels and similar facilities	Hoteles, moteles y similares	Hoteles, moteles y similares
7212	class	Recreational camps and lodgings	Recreational camps and lodgings	Campamentos y albergues recreativos	Campamentos y albergues recreativos
