"","code","name","level","name_en","name_es","name_short_en","name_short_es","parent_id"
1364,"8452","Outerwear knitted or crocheted, not elastic nor rubberized; womens, girls, infants, suits, dresses, etc, knitted, crocheted","4digit","Outerwear knitted or crocheted, not elastic nor rubberized; womens, girls, infants, suits, dresses, etc, knitted, crocheted","","Outerwear knitted or crocheted, not elastic nor rubberized; womens, girls, infants, suits, dresses, etc, knitted, crocheted","",461.0
1365,"8459","Outerwear knitted or crocheted, not elastic nor rubberized; other, clothing accessories, non-elastic, knitted or crocheted","4digit","Outerwear knitted or crocheted, not elastic nor rubberized; other, clothing accessories, non-elastic, knitted or crocheted","","Outerwear knitted or crocheted, not elastic nor rubberized; other, clothing accessories, non-elastic, knitted or crocheted","",461.0
1366,"8461","Under-garments, knitted or crocheted; of wool or fine animal hair, not elastic nor rubberized","4digit","Under-garments, knitted or crocheted; of wool or fine animal hair, not elastic nor rubberized","","Under-garments, knitted or crocheted; of wool or fine animal hair, not elastic nor rubberized","",462.0
1367,"8462","Under-garments, knitted or crocheted; of cotton, not elastic nor rubberized","4digit","Under-garments, knitted or crocheted; of cotton, not elastic nor rubberized","","Under-garments, knitted or crocheted; of cotton, not elastic nor rubberized","",462.0
1368,"8463","Under-garments, knitted or crocheted; of synthetic fibres not elastic nor rubberized","4digit","Under-garments, knitted or crocheted; of synthetic fibres not elastic nor rubberized","","Under-garments, knitted or crocheted; of synthetic fibres not elastic nor rubberized","",462.0
1369,"8464","Under-garments, knitted or crocheted; of other fibres, not elastic nor rubberized","4digit","Under-garments, knitted or crocheted; of other fibres, not elastic nor rubberized","","Under-garments, knitted or crocheted; of other fibres, not elastic nor rubberized","",462.0
1370,"8465","Corsets, garters, etc, not knitted or crocheted, elastic or not","4digit","Corsets, garters, etc, not knitted or crocheted, elastic or not","","Corsets, garters, etc, not knitted or crocheted, elastic or not","",462.0
1371,"8471","Clothing accessories, of textile fabrics, not knitted or crocheted","4digit","Clothing accessories, of textile fabrics, not knitted or crocheted","","Clothing accessories, of textile fabrics, not knitted or crocheted","",463.0
1372,"8472","Clothing accessories, knitted or crocheted, nes","4digit","Clothing accessories, knitted or crocheted, nes","","Clothing accessories, knitted or crocheted, nes","",463.0
1373,"8481","Articles of apparel, clothing accessories of leather","4digit","Articles of apparel, clothing accessories of leather","","Articles of apparel, clothing accessories of leather","",464.0
1374,"8482","Articles of apparel, clothing accessories of plastic or rubber","4digit","Articles of apparel, clothing accessories of plastic or rubber","","Articles of apparel, clothing accessories of plastic or rubber","",464.0
1375,"8483","Fur clothing (not headgear) and other articles made of furskins","4digit","Fur clothing (not headgear) and other articles made of furskins","","Fur clothing (not headgear) and other articles made of furskins","",464.0
1376,"8484","Headgear and fitting thereof, nes","4digit","Headgear and fitting thereof, nes","","Headgear and fitting thereof, nes","",464.0
1377,"8510","Footwear","4digit","Footwear","","Footwear","",465.0
1378,"8710","Optical instruments and apparatus","4digit","Optical instruments and apparatus","","Optical instruments and apparatus","",466.0
1379,"8720","Medical instruments and appliances, nes","4digit","Medical instruments and appliances, nes","","Medical instruments and appliances, nes","",467.0
1380,"8731","Gas, liquid and electricity supply or production meters; etc","4digit","Gas, liquid and electricity supply or production meters; etc","","Gas, liquid and electricity supply or production meters; etc","",468.0
1381,"8732","Counting devices non-electrical; stroboscopes","4digit","Counting devices non-electrical; stroboscopes","","Counting devices non-electrical; stroboscopes","",468.0
1382,"8741","Surveying, navigational, compasses, etc, instruments, nonelectrical","4digit","Surveying, navigational, compasses, etc, instruments, nonelectrical","","Surveying, navigational, compasses, etc, instruments, nonelectrical","",469.0
1383,"8742","Drawing, marking-out and mathematical calculating instruments, etc","4digit","Drawing, marking-out and mathematical calculating instruments, etc","","Drawing, marking-out and mathematical calculating instruments, etc","",469.0
1384,"8743","Gas, liquid control instruments and apparatus, non-electrical","4digit","Gas, liquid control instruments and apparatus, non-electrical","","Gas, liquid control instruments and apparatus, non-electrical","",469.0
1385,"8744","Nonmechanical or electrical instruments for physical, etc, analysis","4digit","Nonmechanical or electrical instruments for physical, etc, analysis","","Nonmechanical or electrical instruments for physical, etc, analysis","",469.0
1386,"8745","Measuring, controlling and scientific instruments, nes","4digit","Measuring, controlling and scientific instruments, nes","","Measuring, controlling and scientific instruments, nes","",469.0
1387,"8748","Electrical measuring, controlling, etc, instruments, apparatus, nes","4digit","Electrical measuring, controlling, etc, instruments, apparatus, nes","","Electrical measuring, controlling, etc, instruments, apparatus, nes","",469.0
1388,"8749","Parts, nes, and accessories of headings 873, 8743, 87454 or 8748","4digit","Parts, nes, and accessories of headings 873, 8743, 87454 or 8748","","Parts, nes, and accessories of headings 873, 8743, 87454 or 8748","",469.0
1389,"8811","Photographic cameras, flashlight apparatus, parts, accessories, nes","4digit","Photographic cameras, flashlight apparatus, parts, accessories, nes","","Photographic cameras, flashlight apparatus, parts, accessories, nes","",470.0
1390,"8812","Cinematographic cameras, projectors, etc, parts, accessories, nes","4digit","Cinematographic cameras, projectors, etc, parts, accessories, nes","","Cinematographic cameras, projectors, etc, parts, accessories, nes","",470.0
1391,"8813","Photographic and cinematographic apparatus and equipment, nes","4digit","Photographic and cinematographic apparatus and equipment, nes","","Photographic and cinematographic apparatus and equipment, nes","",470.0
1392,"8821","Chemical products and flashlight materials for use in photografy","4digit","Chemical products and flashlight materials for use in photografy","","Chemical products and flashlight materials for use in photografy","",471.0
1393,"8822","Photographic film, plates and paper (other than cinematograph film)","4digit","Photographic film, plates and paper (other than cinematograph film)","","Photographic film, plates and paper (other than cinematograph film)","",471.0
1394,"8830","Cinematograph film, exposed and developed","4digit","Cinematograph film, exposed and developed","","Cinematograph film, exposed and developed","",472.0
1395,"8841","Lenses and other optical elements of any material","4digit","Lenses and other optical elements of any material","","Lenses and other optical elements of any material","",473.0
1396,"8842","Spectacles and spectacle frames","4digit","Spectacles and spectacle frames","","Spectacles and spectacle frames","",473.0
1397,"8851","Watches, watch movements and case","4digit","Watches, watch movements and case","","Watches, watch movements and case","",474.0
1398,"8852","Clocks, clock movements and parts","4digit","Clocks, clock movements and parts","","Clocks, clock movements and parts","",474.0
1399,"8921","Printed books, pamphlets, maps and globes","4digit","Printed books, pamphlets, maps and globes","","Printed books, pamphlets, maps and globes","",475.0
1400,"8922","Newspapers, journals and periodicals","4digit","Newspapers, journals and periodicals","","Newspapers, journals and periodicals","",475.0
1401,"8924","Picture postcards, decalcomanias, etc, printed","4digit","Picture postcards, decalcomanias, etc, printed","","Picture postcards, decalcomanias, etc, printed","",475.0
1402,"8928","Printed matter, nes","4digit","Printed matter, nes","","Printed matter, nes","",475.0
1403,"8931","Plastic packing containers, lids, stoppers and other closures","4digit","Plastic packing containers, lids, stoppers and other closures","","Plastic packing containers, lids, stoppers and other closures","",476.0
1404,"8932","Plastic sanitary and toilet articles","4digit","Plastic sanitary and toilet articles","","Plastic sanitary and toilet articles","",476.0
1405,"8933","Personal adornments and ornaments articles of plastic","4digit","Personal adornments and ornaments articles of plastic","","Personal adornments and ornaments articles of plastic","",476.0
1406,"8935","Articles of electric lighting of plastic","4digit","Articles of electric lighting of plastic","","Articles of electric lighting of plastic","",476.0
1407,"8939","Miscellaneous articles of plastic","4digit","Miscellaneous articles of plastic","","Miscellaneous articles of plastic","",476.0
1408,"8941","Baby carriages and parts thereof, nes","4digit","Baby carriages and parts thereof, nes","","Baby carriages and parts thereof, nes","",477.0
1409,"8942","Children's toys, indoor games, etc","4digit","Children's toys, indoor games, etc","","Children's toys, indoor games, etc","",477.0
1410,"8946","Non-military arms and ammunition therefor","4digit","Non-military arms and ammunition therefor","","Non-military arms and ammunition therefor","",477.0
1411,"8947","Other sporting goods and fairground amusements, etc","4digit","Other sporting goods and fairground amusements, etc","","Other sporting goods and fairground amusements, etc","",477.0
