6digit_code	4digit_code	2digit_code	section_code
290629	2906	29	5
290711	2907	29	5
290712	2907	29	5
290713	2907	29	5
290714	2907	29	5
290715	2907	29	5
290719	2907	29	5
290721	2907	29	5
290722	2907	29	5
290723	2907	29	5
290729	2907	29	5
290730	2907	29	5
290810	2908	29	5
290820	2908	29	5
290890	2908	29	5
290911	2909	29	5
290919	2909	29	5
290920	2909	29	5
290930	2909	29	5
290941	2909	29	5
290942	2909	29	5
290943	2909	29	5
290944	2909	29	5
290949	2909	29	5
290950	2909	29	5
290960	2909	29	5
291010	2910	29	5
291020	2910	29	5
291030	2910	29	5
291090	2910	29	5
291100	2911	29	5
291211	2912	29	5
291212	2912	29	5
291213	2912	29	5
291219	2912	29	5
291221	2912	29	5
291229	2912	29	5
291230	2912	29	5
291241	2912	29	5
291242	2912	29	5
291249	2912	29	5
291250	2912	29	5
291260	2912	29	5
291300	2913	29	5
291411	2914	29	5
291412	2914	29	5
291413	2914	29	5
291419	2914	29	5
291421	2914	29	5
291422	2914	29	5
291423	2914	29	5
291429	2914	29	5
291430	2914	29	5
291441	2914	29	5
291449	2914	29	5
291450	2914	29	5
291461	2914	29	5
291469	2914	29	5
291470	2914	29	5
291511	2915	29	5
291512	2915	29	5
291513	2915	29	5
291521	2915	29	5
291522	2915	29	5
291523	2915	29	5
291524	2915	29	5
291529	2915	29	5
291531	2915	29	5
291532	2915	29	5
291533	2915	29	5
291534	2915	29	5
291535	2915	29	5
291539	2915	29	5
291540	2915	29	5
291550	2915	29	5
291560	2915	29	5
291570	2915	29	5
291590	2915	29	5
291611	2916	29	5
291612	2916	29	5
291613	2916	29	5
291614	2916	29	5
291615	2916	29	5
291619	2916	29	5
291620	2916	29	5
291631	2916	29	5
291632	2916	29	5
291633	2916	29	5
291639	2916	29	5
291711	2917	29	5
291712	2917	29	5
291713	2917	29	5
291714	2917	29	5
291719	2917	29	5
291720	2917	29	5
291731	2917	29	5
291732	2917	29	5
291733	2917	29	5
291734	2917	29	5
291735	2917	29	5
291736	2917	29	5
291737	2917	29	5
291739	2917	29	5
291811	2918	29	5
291812	2918	29	5
291813	2918	29	5
291814	2918	29	5
291815	2918	29	5
291816	2918	29	5
291817	2918	29	5
291819	2918	29	5
291821	2918	29	5
291822	2918	29	5
291823	2918	29	5
291829	2918	29	5
291830	2918	29	5
291890	2918	29	5
291900	2919	29	5
292010	2920	29	5
292090	2920	29	5
292111	2921	29	5
292112	2921	29	5
292119	2921	29	5
292121	2921	29	5
292122	2921	29	5
292129	2921	29	5
292130	2921	29	5
292141	2921	29	5
292142	2921	29	5
292143	2921	29	5
292144	2921	29	5
292145	2921	29	5
292149	2921	29	5
292151	2921	29	5
292159	2921	29	5
292211	2922	29	5
292212	2922	29	5
292213	2922	29	5
292219	2922	29	5
292221	2922	29	5
292222	2922	29	5
292229	2922	29	5
292230	2922	29	5
292241	2922	29	5
292242	2922	29	5
292249	2922	29	5
292250	2922	29	5
292310	2923	29	5
292320	2923	29	5
292390	2923	29	5
292410	2924	29	5
292421	2924	29	5
292429	2924	29	5
292511	2925	29	5
292519	2925	29	5
292520	2925	29	5
292610	2926	29	5
292620	2926	29	5
292690	2926	29	5
292700	2927	29	5
292800	2928	29	5
292910	2929	29	5
292990	2929	29	5
293010	2930	29	5
293020	2930	29	5
293030	2930	29	5
293040	2930	29	5
293090	2930	29	5
293100	2931	29	5
293211	2932	29	5
293212	2932	29	5
293213	2932	29	5
293219	2932	29	5
293221	2932	29	5
293229	2932	29	5
293290	2932	29	5
293311	2933	29	5
293319	2933	29	5
293321	2933	29	5
293329	2933	29	5
293331	2933	29	5
293339	2933	29	5
293340	2933	29	5
293351	2933	29	5
293359	2933	29	5
293361	2933	29	5
293369	2933	29	5
293371	2933	29	5
293379	2933	29	5
293390	2933	29	5
293410	2934	29	5
293420	2934	29	5
293430	2934	29	5
293490	2934	29	5
293500	2935	29	5
293610	2936	29	5
293621	2936	29	5
293622	2936	29	5
293623	2936	29	5
293624	2936	29	5
293625	2936	29	5
293626	2936	29	5
293627	2936	29	5
293628	2936	29	5
293629	2936	29	5
293690	2936	29	5
293710	2937	29	5
293721	2937	29	5
293722	2937	29	5
293729	2937	29	5
293791	2937	29	5
293792	2937	29	5
293799	2937	29	5
293810	2938	29	5
