"","code","level","parent_id","name_en","name_short_en","name_es","name_short_es","name"
93,"3221","class",92.0,"Pulp, paper and paperboard manufacturing","Pulp, paper and paperboard manufacturing","Fabricacion de pulpa, papel y carton","Fabricacion de pulpa, papel y carton","Pulp, paper and paperboard manufacturing"
94,"3222","class",92.0,"Paperboard and paper products manufacturing","Paperboard and paper products manufacturing","Fabricacion de productos de carton y papel","Fabricacion de productos de carton y papel","Paperboard and paper products manufacturing"
95,"323","group",87.0,"Printing and related industries","Printing and related industries","Impresion e industrias conexas","Impresion e industrias conexas","Printing and related industries"
96,"3231","class",95.0,"Printing and related industries","Printing and related industries","Impresion e industrias conexas","Impresion e industrias conexas","Printing and related industries"
97,"324","group",87.0,"Manufacturing of products derived from petroleum and coal","Manufacturing of products derived from petroleum and coal","Fabricacion de productos derivados del petroleo y del carbon","Fabricacion de productos derivados del petroleo y del carbon","Manufacturing of products derived from petroleum and coal"
98,"3241","class",97.0,"Manufacturing of products derived from petroleum and coal","Manufacturing of products derived from petroleum and coal","Fabricacion de productos derivados del petroleo y del carbon","Fabricacion de productos derivados del petroleo y del carbon","Manufacturing of products derived from petroleum and coal"
99,"325","group",87.0,"Chemical industry","Chemical industry","Industria quimica","Industria quimica","Chemical industry"
100,"3251","class",99.0,"Basic chemical products manufacturing","Basic chemical products manufacturing","Fabricacion de productos quimicos basicos","Fabricacion de productos quimicos basicos","Basic chemical products manufacturing"
101,"3252","class",99.0,"Synthetic resins and rubbers, and chemical fibers manufacturing","Synthetic resins and rubbers, and chemical fibers manufacturing","Fabricacion de resinas y hules sinteticos, y fibras quimicas","Fabricacion de resinas y hules sinteticos, y fibras quimicas","Synthetic resins and rubbers, and chemical fibers manufacturing"
102,"3253","class",99.0,"Fertilizers, pesticides and other agrochemical products manufacturing","Fertilizers, pesticides and other agrochemical products manufacturing","Fabricacion de fertilizantes, pesticidas y otros agroquimicos","Fabricacion de fertilizantes, pesticidas y otros agroquimicos","Fertilizers, pesticides and other agrochemical products manufacturing"
103,"3254","class",99.0,"Pharmaceutical products manufacturing","Pharmaceutical products manufacturing","Fabricacion de productos farmaceuticos","Fabricacion de productos farmaceuticos","Pharmaceutical products manufacturing"
104,"3255","class",99.0,"Paints, coatings, and adhesives manufacturing","Paints, coatings, and adhesives manufacturing","Fabricacion de pinturas, recubrimientos y adhesivos","Fabricacion de pinturas, recubrimientos y adhesivos","Paints, coatings, and adhesives manufacturing"
105,"3256","class",99.0,"Soaps, cleaners and toilet preparations manufacturing","Soaps, cleaners and toilet preparations manufacturing","Fabricacion de jabones, limpiadores y preparaciones de tocador","Fabricacion de jabones, limpiadores y preparaciones de tocador","Soaps, cleaners and toilet preparations manufacturing"
106,"3259","class",99.0,"Other chemical products manufacturing","Other chemical products manufacturing","Fabricacion de otros productos quimicos","Fabricacion de otros productos quimicos","Other chemical products manufacturing"
107,"326","group",87.0,"Plastic and rubber industry","Plastic and rubber industry","Industria del plastico y del hule","Industria del plastico y del hule","Plastic and rubber industry"
108,"3261","class",107.0,"Plastic products manufacturing","Plastic products manufacturing","Fabricacion de productos de plastico","Fabricacion de productos de plastico","Plastic products manufacturing"
109,"3262","class",107.0,"Rubber products manufacturing","Rubber products manufacturing","Fabricacion de productos de hule","Fabricacion de productos de hule","Rubber products manufacturing"
110,"327","group",87.0,"Nonmetallic mineral products manufacturing","Nonmetallic mineral products manufacturing","Fabricacion de productos a base de minerales no metalicos","Fabricacion de productos a base de minerales no metalicos","Nonmetallic mineral products manufacturing"
111,"3271","class",110.0,"Manufacturing of products based on clays and refractory minerals","Manufacturing of products based on clays and refractory minerals","Fabricacion de productos a base de arcillas y minerales refractarios","Fabricacion de productos a base de arcillas y minerales refractarios","Manufacturing of products based on clays and refractory minerals"
112,"3272","class",110.0,"Glass and glass products manufacturing","Glass and glass products manufacturing","Fabricacion de vidrio y productos de vidrio","Fabricacion de vidrio y productos de vidrio","Glass and glass products manufacturing"
113,"3273","class",110.0,"Cement and concrete products manufacturing","Cement and concrete products manufacturing","Fabricacion de cemento y productos de concreto","Fabricacion de cemento y productos de concreto","Cement and concrete products manufacturing"
114,"3274","class",110.0,"Lime, gypsum and gypsum products manufacturing","Lime, gypsum and gypsum products manufacturing","Fabricacion de cal, yeso y productos de yeso","Fabricacion de cal, yeso y productos de yeso","Lime, gypsum and gypsum products manufacturing"
115,"3279","class",110.0,"Other nonmetallic mineral products manufacturing","Other nonmetallic mineral products manufacturing","Fabricacion de otros productos a base de minerales no metalicos","Fabricacion de otros productos a base de minerales no metalicos","Other nonmetallic mineral products manufacturing"
116,"3311","class",110.0,"Iron and steel basic industry","Iron and steel basic industry","Industria basica del hierro y del acero","Industria basica del hierro y del acero","Iron and steel basic industry"
117,"3312","class",110.0,"Iron and steel products manufacturing","Iron and steel products manufacturing","Fabricacion de productos de hierro y acero","Fabricacion de productos de hierro y acero","Iron and steel products manufacturing"
118,"3313","class",110.0,"Aluminum basic industry","Aluminum basic industry","Industria basica del aluminio","Industria basica del aluminio","Aluminum basic industry"
119,"3314","class",110.0,"Nonferrous metal industry, except aluminum","Nonferrous metal industry, except aluminum","Industrias de metales no ferrosos, excepto aluminio","Industrias de metales no ferrosos, excepto aluminio","Nonferrous metal industry, except aluminum"
120,"3315","class",110.0,"Metal parts molding by casting","Metal parts molding by casting","Moldeo por fundicion de piezas metalicas","Moldeo por fundicion de piezas metalicas","Metal parts molding by casting"
121,"33","division",43.0,"Manufacturing 3","Manufacturing 3","Industrias manufactureras 3","Industrias manufactureras 3","Manufacturing 3"
122,"332","group",121.0,"Metal products manufacturing","Metal products manufacturing","Fabricacion de productos metalicos","Fabricacion de productos metalicos","Metal products manufacturing"
123,"3321","class",122.0,"Forged and stamped metal products manufacturing","Forged and stamped metal products manufacturing","Fabricacion de productos metalicos forjados y troquelados","Fabricacion de productos metalicos forjados y troquelados","Forged and stamped metal products manufacturing"
124,"3322","class",122.0,"Nonpowered hand tools and metal kitchen utensils manufacturing","Nonpowered hand tools and metal kitchen utensils manufacturing","Fabricacion de herramientas de mano sin motor y utensilios de cocina metalicos","Fabricacion de herramientas de mano sin motor y utensilios de cocina metalicos","Nonpowered hand tools and metal kitchen utensils manufacturing"
125,"3323","class",122.0,"Metal structures and iron works products manufacturing","Metal structures and iron works products manufacturing","Fabricacion de estructuras metalicas y productos de herreria","Fabricacion de estructuras metalicas y productos de herreria","Metal structures and iron works products manufacturing"
126,"3324","class",122.0,"Boilers, tanks and metal containers manufacturing","Boilers, tanks and metal containers manufacturing","Fabricacion de calderas, tanques y envases metalicos","Fabricacion de calderas, tanques y envases metalicos","Boilers, tanks and metal containers manufacturing"
127,"3325","class",122.0,"Metal fittings and locks manufacturing","Metal fittings and locks manufacturing","Fabricacion de herrajes y cerraduras","Fabricacion de herrajes y cerraduras","Metal fittings and locks manufacturing"
128,"3326","class",122.0,"Wire, wire products and springs manufacturing","Wire, wire products and springs manufacturing","Fabricacion de alambre, productos de alambre y resortes","Fabricacion de alambre, productos de alambre y resortes","Wire, wire products and springs manufacturing"
129,"3327","class",122.0,"Metal parts machining and screws manufacturing","Metal parts machining and screws manufacturing","Maquinado de piezas metalicas y fabricacion de tornillos","Maquinado de piezas metalicas y fabricacion de tornillos","Metal parts machining and screws manufacturing"
130,"3328","class",122.0,"Metal coating and finishings","Metal coating and finishings","Recubrimientos y terminados metalicos","Recubrimientos y terminados metalicos","Metal coating and finishings"
131,"3329","class",122.0,"Other metal products manufacturing","Other metal products manufacturing","Fabricacion de otros productos metalicos","Fabricacion de otros productos metalicos","Other metal products manufacturing"
132,"333","group",121.0,"Machinery and equipment manufacturing","Machinery and equipment manufacturing","Fabricacion de maquinaria y equipo","Fabricacion de maquinaria y equipo","Machinery and equipment manufacturing"
133,"3331","class",132.0,"Agricultural, construction and extractive industry machinery and equipment manufacturing","Agricultural, construction and extractive industry machinery and equipment manufacturing","Fabricacion de maquinaria y equipo agropecuario, para la construccion y para la industria extractiva","Fabricacion de maquinaria y equipo agropecuario, para la construccion y para la industria extractiva","Agricultural, construction and extractive industry machinery and equipment manufacturing"
134,"3332","class",132.0,"Industrial machinery and equipment manufacturing, except metalworking","Industrial machinery and equipment manufacturing, except metalworking","Fabricacion de maquinaria y equipo para las industrias manufactureras, excepto la metalmecanica","Fabricacion de maquinaria y equipo para las industrias manufactureras, excepto la metalmecanica","Industrial machinery and equipment manufacturing, except metalworking"
135,"3333","class",132.0,"Commercial and service industry machinery and equipment manufacturing","Commercial and service industry machinery and equipment manufacturing","Fabricacion de maquinaria y equipo para el comercio y los servicios","Fabricacion de maquinaria y equipo para el comercio y los servicios","Commercial and service industry machinery and equipment manufacturing"
136,"3334","class",132.0,"Air conditioning, heating, and industrial and commercial refrigeration equipment manufacturing","Air conditioning, heating, and industrial and commercial refrigeration equipment manufacturing","Fabricacion de equipo de aire acondicionado, calefaccion, y de refrigeracion industrial y comercial","Fabricacion de equipo de aire acondicionado, calefaccion, y de refrigeracion industrial y comercial","Air conditioning, heating, and industrial and commercial refrigeration equipment manufacturing"
137,"3335","class",132.0,"Metalworking industry machinery and equipment manufacturing","Metalworking industry machinery and equipment manufacturing","Fabricacion de maquinaria y equipo para la industria metalmecanica","Fabricacion de maquinaria y equipo para la industria metalmecanica","Metalworking industry machinery and equipment manufacturing"
138,"3336","class",132.0,"Internal combustion engines, turbines and power transmissions manufacturing","Internal combustion engines, turbines and power transmissions manufacturing","Fabricacion de motores de combustion interna, turbinas y transmisiones","Fabricacion de motores de combustion interna, turbinas y transmisiones","Internal combustion engines, turbines and power transmissions manufacturing"
139,"3339","class",132.0,"Other general purpose machinery and equipment manufacturing","Other general purpose machinery and equipment manufacturing","Fabricacion de otra maquinaria y equipo para la industria en general","Fabricacion de otra maquinaria y equipo para la industria en general","Other general purpose machinery and equipment manufacturing"
