code	level	name_en	name_short_en	name_es	name_short_es
64249	level4	Other paper and paperboard, cut to size or shape, nes	Other paper and paperboard, cut to size or shape, nes		
64281	level4	Bobbins, spools, etc of paper pulp, paper or paperboard	Bobbins, spools, etc of paper pulp, paper or paperboard		
64282	level4	Cards for punched-card machines	Cards for punched-card machines		
64283	level4	Trays, dishes, cups, etc, of paper pulp, paper or paperboard	Trays, dishes, cups, etc, of paper pulp, paper or paperboard		
64284	level4	Paper tissues, towels, bed sheets, etc; paper under garments	Paper tissues, towels, bed sheets, etc; paper under garments		
64285	level4	Sanitary towels and tampons; diapers, of paper or cellulose wadding	Sanitary towels and tampons; diapers, of paper or cellulose wadding		
64289	level4	Other articles of paper pulp, paper, cellulose wadding, etc, nes	Other articles of paper pulp, paper, cellulose wadding, etc, nes		
65111	level4	Silk yarn (other than waste) not put up for retail sale	Silk yarn (other than waste) not put up for retail sale		
65116	level4	Yarn spun from noil or other waste of silk, not for retail sale	Yarn spun from noil or other waste of silk, not for retail sale		
65117	level4	Silk yarn, spun from silk waste, for retail; silkworm gut	Silk yarn, spun from silk waste, for retail; silkworm gut		
65121	level4	Wool tops	Wool tops		
65122	level4	Carded sheep's or lambs' wool (woolen yarn), not for retail sale	Carded sheep's or lambs' wool (woolen yarn), not for retail sale		
65123	level4	Combed sheep's or lambs' wool (worsted yarn), not for retail sale	Combed sheep's or lambs' wool (worsted yarn), not for retail sale		
65124	level4	Fine hair yarn (carded or combed), not for retail sale	Fine hair yarn (carded or combed), not for retail sale		
65125	level4	Coarse hair yarn, not for retail sale	Coarse hair yarn, not for retail sale		
65126	level4	Yarn of sheep's or lamb's wool or of fine animal hair, for retail	Yarn of sheep's or lamb's wool or of fine animal hair, for retail		
65127	level4	Yarn of carded sheep's or lamb's wool, blended, not for retail	Yarn of carded sheep's or lamb's wool, blended, not for retail		
65128	level4	Yarn of combed sheep's or lamb's wool, blended, not for retail	Yarn of combed sheep's or lamb's wool, blended, not for retail		
65129	level4	Wool etc blend yarn for retail	Wool etc blend yarn for retail		
65131	level4	Cotton yarn; measuring, per single yarn, 14 km/kg or less, not for retail	Cotton yarn; measuring, per single yarn, 14 km/kg or less, not for retail		
65132	level4	Cotton yarn; measuring, per single yarn, from 14 to 40 km/kg, not for retail	Cotton yarn; measuring, per single yarn, from 14 to 40 km/kg, not for retail		
65133	level4	Cotton yarn; measuring, per single yarn, from 40 but less 80km/kg, non retail	Cotton yarn; measuring, per single yarn, from 40 but less 80km/kg, non retail		
65134	level4	Cotton yarn; measuring, per single yarn, 80 km/kg or more, not for retail	Cotton yarn; measuring, per single yarn, 80 km/kg or more, not for retail		
65135	level4	Cotton yarn; put up for retail sale	Cotton yarn; put up for retail sale		
65141	level4	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; textured, of continuous polyamide	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; textured, of continuous polyamide		
65142	level4	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; nontextured of continuous polyamide, from non to 50 turns per mt	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; nontextured of continuous polyamide, from non to 50 turns per mt		
65143	level4	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; other non-textured yarns of continuous polyamide	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; other non-textured yarns of continuous polyamide		
65144	level4	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; textured, of continuous polyester	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; textured, of continuous polyester		
65145	level4	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; nontextured of continuous polyester, from non to 50 turns per mt	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; nontextured of continuous polyester, from non to 50 turns per mt		
65146	level4	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; other non-textured yarns of continuous polyester	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; other non-textured yarns of continuous polyester		
65147	level4	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; of other continuous synthetic fibres	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; of other continuous synthetic fibres		
