"","name","level","code","parent_id"
262,"Fabricación De Materiales De Arcilla Para La Construcción","class","2392",261.0
263,"Fabricación De Otros Productos De Cerámica Y Porcelana","class","2393",261.0
264,"Fabricación De Productos Refractarios","class","2391",261.0
265,"Fabricación De Cemento, Cal Y Yeso","class","2394",261.0
266,"Fabricación De Artículos De Hormigón, Cemento Y Yeso","class","2395",261.0
267,"Corte, Tallado Y Acabado De La Piedra","class","2396",261.0
268,"Fabricación De Otros Productos Minerales No Metálicos N.C.P.","class","2399",261.0
269,"Industrias Básicas De Hierro Y De Acero","group","241",258.0
270,"Fundición De Metales","group","243",258.0
271,"Industrias Básicas De Hierro Y De Acero","class","2410",270.0
272,"Fundición De Hierro Y De Acero","class","2431",270.0
273,"Industrias Básicas De Metales Preciosos","class","2421",270.0
274,"Fundición De Metales No Ferrosos","class","2432",270.0
275,"Fabricación De Productos Elaborados De Metal, Excepto Maquinaria Y Equipo","division","25",105.0
276,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor.","group","251",275.0
277,"Fabricación De Productos Metálicos Para Uso Estructural","class","2511",276.0
278,"Mantenimiento Y Reparación Especializado De Productos Elaborados En Metal","class","3311",276.0
279,"Fabricación De Tanques, Depósitos Y Recipientes De Metal, Excepto Los Utilizados Para El Envase O Transporte De Mercancías","class","2512",276.0
280,"Fabricación De Generadores De Vapor, Excepto Calderas De Agua Caliente Para Calefacción Central","class","2513",276.0
281,"Fabricación De Otros Productos Elaborados De Metal Y Actividades De Servicios Relacionadas Con El Trabajo De Metales","group","259",275.0
282,"Forja, Prensado, Estampado Y Laminado De Metal; Pulvimetalurgia","class","2591",281.0
283,"Tratamiento Y Revestimiento De Metales; Mecanizado","class","2592",281.0
284,"Fabricación De Artículos De Cuchillería, Herramientas De Mano Y Artículos De Ferretería","class","2593",281.0
285,"Fabricación De Otros Productos Elaborados De Metal N.C.P.","class","2599",281.0
286,"Fabricación De Otros Tipos De Equipo De Transporte","division","30",105.0
