code	level	name_sp_full	name_es	name_short_es	name_en	name_short_en
7493	class	Actividades de limpieza de edificios	Actividades de limpieza de edificios	Actividades de limpieza de edificios	Building-cleaning activities	Building-cleaning activities
7494	class	Actividades de fotografía	Actividades de fotografía	Actividades de fotografía	Photographic activities	Photographic activities
7495	class	Actividades de envase y empaque	Actividades de envase y empaque	Actividades de envase y empaque	Packaging activities	Packaging activities
7499	class	Otras actividades empresariales ncp	Otras actividades empresariales ncp	Otras actividades empresariales ncp	Other business activities n.e.c.	Other business activities n.e.c.
7511	class	Actividades legislativas de la administración pública en general	Actividades legislativas de la administración pública en general	Actividades legislativas	Legislative activities in General public administration	Legislative activities
7512	class	Actividades ejecutivas de la administración pública en general	Actividades ejecutivas de la administración pública en general	Actividades ejecutivas del gobierno	Executive activities in General public administration	Executive activities in public administration
7513	class	Regulación de las actividades de organismos que prestan servicios de salud, educativos, culturales y otros Servicios sociales, excepto servicios de seguridad social	Regulación de organismos de salud, educación, y otros Servicios sociales y culturales, excepto seguridad social	Regulación de Servicios sociales, exc. seguridad social	Regulation of health care, education, cultural, and other social service agencies, not social security	Regulation of social service agencies, not social security
7514	class	Actividades reguladoras y facilitadoras de la actividad económica	Actividades reguladoras y facilitadoras de la actividad económica	Regulación de la actividad económica	Regulation and business facilitation services	Regulation and business facilitation services
7515	class	Actividades auxiliares de servicios para la administración pública en general	Actividades auxiliares de servicios para la administración pública en general	Servicios auxiliares para el gobierno	Government ancillary services	Government ancillary services
7521	class	Relaciones exteriores	Relaciones exteriores	Relaciones exteriores	Foreign affairs	Foreign affairs
7522	class	Actividades de defensa	Actividades de defensa	Actividades de defensa	Defence activities	Defence activities
7523	class	Actividades de la justicia	Actividades de la justicia	Actividades de la justicia	Judicial activities	Judicial activities
7524	class	Actividades de la policía y protección civil	Actividades de la policía y protección civil	Actividades de la policía y protección civil	Public order and safety activities	Public order and safety activities
7530	class	Actividades de seguridad social de afiliación obligatoria	Actividades de seguridad social de afiliación obligatoria	Seguridad social obligatoria	Compulsory social security activities	Compulsory social security activities
