"","code","name","level","name_en","name_es","parent_id"
372,"papa_china","Chinnese Potatoe","level3","Chinnese Potatoe","Papa China",369.0
373,"yota","Edule","level3","Edule","Yota",369.0
374,"papa","Potatoe","level2","Potatoe","Papa",357.0
375,"papa","Pota","level3","Pota","Papa",374.0
376,"papa_criolla","Creole Potatoe","level3","Creole Potatoe","Papa Criolla",374.0
377,"platano","Plantain","level2","Plantain","Plátano",357.0
378,"cachaco","Cachaco","level3","Cachaco","Cachaco",377.0
379,"platano","Plantain","level3","Plantain","Plátano",377.0
380,"platano_exportacion","Export Plantain","level3","Export Plantain","Plátano Exportación",377.0
381,"ulluco","Ullucus","level2","Ullucus","Ulluco",357.0
382,"ruba","Rue","level3","Rue","Ruba",381.0
383,"ulluco","Ullucus","level3","Ullucus","Ulluco",381.0
384,"yacon","Peruvian Groundapple","level2","Peruvian Groundapple","Yacón",357.0
385,"yacon","Peruvian Groundapple","level3","Peruvian Groundapple","Yacón",384.0
386,"yuca","Yucca","level2","Yucca","Yuca",357.0
387,"yuca","Yucca","level3","Yucca","Yuca",386.0
388,"yuca_industrial","Industrial Yucca","level3","Industrial Yucca","Yuca Industrial",386.0
389,"ame","Greater Yam","level2","Greater Yam","Ñame",357.0
390,"ame","Greater yam","level3","Greater yam","Ñame",389.0
391,"ame_diamante","Diamond greater yam","level3","Diamond greater yam","Ñame Diamante",389.0
392,"ame_espino","Hawthorn greater yam","level3","Hawthorn greater yam","Ñame Espino",389.0
