"","code","level","name_en","parent_id","name","name_es","name_short_en","name_short_es"
915,"17004","municipality","Ayala",911.0,"Ayala","Ayala","Ayala","Ayala"
916,"17005","municipality","Coatlán Del Río",911.0,"Coatlán Del Río","Coatlán Del Río","Coatlán Del Río","Coatlán Del Río"
917,"17006","municipality","Cuautla",911.0,"Cuautla","Cuautla","Cuautla","Cuautla"
918,"17007","municipality","Cuernavaca",911.0,"Cuernavaca","Cuernavaca","Cuernavaca","Cuernavaca"
919,"17008","municipality","Emiliano Zapata",911.0,"Emiliano Zapata","Emiliano Zapata","Emiliano Zapata","Emiliano Zapata"
920,"17009","municipality","Huitzilac",911.0,"Huitzilac","Huitzilac","Huitzilac","Huitzilac"
921,"17010","municipality","Jantetelco",911.0,"Jantetelco","Jantetelco","Jantetelco","Jantetelco"
922,"17011","municipality","Jiutepec",911.0,"Jiutepec","Jiutepec","Jiutepec","Jiutepec"
923,"17012","municipality","Jojutla",911.0,"Jojutla","Jojutla","Jojutla","Jojutla"
924,"17013","municipality","Jonacatepec",911.0,"Jonacatepec","Jonacatepec","Jonacatepec","Jonacatepec"
925,"17014","municipality","Mazatepec",911.0,"Mazatepec","Mazatepec","Mazatepec","Mazatepec"
926,"17015","municipality","Miacatlán",911.0,"Miacatlán","Miacatlán","Miacatlán","Miacatlán"
927,"17016","municipality","Ocuituco",911.0,"Ocuituco","Ocuituco","Ocuituco","Ocuituco"
928,"17017","municipality","Puente De Ixtla",911.0,"Puente De Ixtla","Puente De Ixtla","Puente De Ixtla","Puente De Ixtla"
929,"17018","municipality","Temixco",911.0,"Temixco","Temixco","Temixco","Temixco"
930,"17019","municipality","Tepalcingo",911.0,"Tepalcingo","Tepalcingo","Tepalcingo","Tepalcingo"
931,"17020","municipality","Tepoztlán",911.0,"Tepoztlán","Tepoztlán","Tepoztlán","Tepoztlán"
932,"17021","municipality","Tetecala",911.0,"Tetecala","Tetecala","Tetecala","Tetecala"
933,"17022","municipality","Tetela Del Volcán",911.0,"Tetela Del Volcán","Tetela Del Volcán","Tetela Del Volcán","Tetela Del Volcán"
934,"17023","municipality","Tlalnepantla",911.0,"Tlalnepantla","Tlalnepantla","Tlalnepantla","Tlalnepantla"
935,"17024","municipality","Tlaltizapán De Zapata",911.0,"Tlaltizapán De Zapata","Tlaltizapán De Zapata","Tlaltizapán De Zapata","Tlaltizapán De Zapata"
936,"17025","municipality","Tlaquiltenango",911.0,"Tlaquiltenango","Tlaquiltenango","Tlaquiltenango","Tlaquiltenango"
937,"17026","municipality","Tlayacapan",911.0,"Tlayacapan","Tlayacapan","Tlayacapan","Tlayacapan"
938,"17027","municipality","Totolapan",911.0,"Totolapan","Totolapan","Totolapan","Totolapan"
939,"17028","municipality","Xochitepec",911.0,"Xochitepec","Xochitepec","Xochitepec","Xochitepec"
940,"17029","municipality","Yautepec",911.0,"Yautepec","Yautepec","Yautepec","Yautepec"
941,"17030","municipality","Yecapixtla",911.0,"Yecapixtla","Yecapixtla","Yecapixtla","Yecapixtla"
942,"17031","municipality","Zacatepec",911.0,"Zacatepec","Zacatepec","Zacatepec","Zacatepec"
943,"17032","municipality","Zacualpan De Amilpas",911.0,"Zacualpan De Amilpas","Zacualpan De Amilpas","Zacualpan De Amilpas","Zacualpan De Amilpas"
944,"17033","municipality","Temoac",911.0,"Temoac","Temoac","Temoac","Temoac"
945,"18","department","Nayarit",0.0,"Nayarit","Nayarit","Nayarit","Nayarit"
946,"18001","municipality","Acaponeta",945.0,"Acaponeta","Acaponeta","Acaponeta","Acaponeta"
947,"18002","municipality","Ahuacatlán",945.0,"Ahuacatlán","Ahuacatlán","Ahuacatlán","Ahuacatlán"
948,"18003","municipality","Amatlán De Cańas",945.0,"Amatlán De Cańas","Amatlán De Cańas","Amatlán De Cańas","Amatlán De Cańas"
949,"18004","municipality","Compostela",945.0,"Compostela","Compostela","Compostela","Compostela"
950,"18005","municipality","Huajicori",945.0,"Huajicori","Huajicori","Huajicori","Huajicori"
951,"18006","municipality","Ixtlán Del Río",945.0,"Ixtlán Del Río","Ixtlán Del Río","Ixtlán Del Río","Ixtlán Del Río"
952,"18007","municipality","Jala",945.0,"Jala","Jala","Jala","Jala"
953,"18008","municipality","Xalisco",945.0,"Xalisco","Xalisco","Xalisco","Xalisco"
954,"18009","municipality","Del Nayar",945.0,"Del Nayar","Del Nayar","Del Nayar","Del Nayar"
