"","code","level","name_en","name_es","name_short_en","name_short_es","parent_id","name"
199,"STP","country","Sao Tome and Principe","Santo Tome Y Principe (Republica Democratica De)","Sao Tome and Principe","Santo Tome y Principe","","Sao Tome and Principe"
200,"SUR","country","Suriname","Suriname (Republica De)","Suriname","Suriname ","","Suriname"
201,"SVK","country","Slovakia","Republica Eslovaca","Slovakia","Republica Eslovaca","","Slovakia"
202,"SVN","country","Slovenia","Eslovenia (Republica De)","Slovenia","Eslovenia ","","Slovenia"
203,"SWE","country","Sweden","Suecia (Reino De)","Sweden","Suecia","","Sweden"
204,"SWZ","country","Swaziland","Swazilandia (Reino De)","Swaziland","Swazilandia","","Swaziland"
205,"SYC","country","Seychelles","Seychelles (Republica De Las)","Seychelles","Seychelles","","Seychelles"
206,"SYR","country","Syrian Arab Republic","Siria (Republica Arabe)","Syrian Arab Republic","Siria","","Syrian Arab Republic"
207,"TCA","country","Turks and Caicos Islands","Turcas Y Caicos (Islas)","Turks and Caicos Islands","Turcas Y Caicos","","Turks and Caicos Islands"
208,"TCD","country","Chad","Chad (Republica Del)","Chad","Chad","","Chad"
209,"TGO","country","Togo","Togo (Republica Togolesa)","Togo","Togo","","Togo"
210,"THA","country","Thailand","Tailandia (Reino De)","Thailand","Tailandia","","Thailand"
211,"TJK","country","Tajikistan","Tadjikistan (Republica De)","Tajikistan","Tadjikistan ","","Tajikistan"
212,"TKL","country","Tokelau","Islas Tokelau","Tokelau","Islas Tokelau","","Tokelau"
213,"TKM","country","Turkmenistan","Turkmenistan (Republica De)","Turkmenistan","Turkmenistan ","","Turkmenistan"
214,"TMP","country","Timor-Leste","Timor Oriental","Timor-Leste","Timor Oriental","","Timor-Leste"
215,"TON","country","Tonga","Tonga (Reino De)","Tonga","Tonga","","Tonga"
216,"TTO","country","Trinidad and Tobago","Trinidad Y Tobago (Republica De)","Trinidad and Tobago","Trinidad y Tobago ","","Trinidad and Tobago"
217,"TUN","country","Tunisia","Tunez (Republica De)","Tunisia","Tunez ","","Tunisia"
218,"TUR","country","Turkey","Turquia (Republica De)","Turkey","Turquia ","","Turkey"
219,"TUV","country","Tuvalu","Tuvalu (Comunidad Britanica De Naciones)","Tuvalu","Tuvalu","","Tuvalu"
220,"TWN","country","Taiwan, Province of China","Taiwan (Republica De China)","Taiwan","Taiwan","","Taiwan, Province of China"
221,"TZA","country","Tanzania, United Republic of","Tanzania (Republica Unida De)","Tanzania","Tanzania","","Tanzania, United Republic of"
222,"UGA","country","Uganda","Uganda (Republica De)","Uganda","Uganda ","","Uganda"
223,"UKR","country","Ukraine","Ucrania","Ukraine","Ucrania","","Ukraine"
224,"URY","country","Uruguay","Uruguay (Republica Oriental Del)","Uruguay","Uruguay","","Uruguay"
225,"USA","country","United States of America","Estados Unidos De America","United States of America","Estados Unidos De America","","United States of America"
226,"UZB","country","Uzbekistan","Uzbejistan (Republica De)","Uzbekistan","Uzbejistan ","","Uzbekistan"
227,"VCT","country","Saint Vincent and the Grenadines","San Vicente Y Las Granadinas","Saint Vincent and the Grenadines","San Vicente y Las Granadinas","","Saint Vincent and the Grenadines"
228,"VEN","country","Venezuela (Bolivarian Republic of)","Venezuela (Republica De)","Venezuela","Venezuela ","","Venezuela (Bolivarian Republic of)"
229,"VGB","country","Virgin Islands (British)","Virgenes. Islas (Britanicas)","Virgin Islands (British)","Virgenes. Islas (Britanicas)","","Virgin Islands (British)"
230,"VIR","country","Virgin Islands (U.S.)","Virgenes. Islas (Norteamericanas)","Virgin Islands (U.S.)","Virgenes. Islas (Norteamericanas)","","Virgin Islands (U.S.)"
