"","code","level","name_en","name_es","name_short_en","name_short_es","parent_id","name","trusted","in_book"
204,"SUN","country","Former USSR","","Former USSR","",355.0,"Former USSR",0.0,0.0
205,"SUR","country","Suriname","Suriname (Republica De)","Suriname","Suriname",357.0,"Suriname",1.0,0.0
206,"SVK","country","Slovakia","Republica Eslovaca","Slovakia","Republica Eslovaca",355.0,"Slovakia",1.0,1.0
207,"SVN","country","Slovenia","Eslovenia (Republica De)","Slovenia","Eslovenia",355.0,"Slovenia",1.0,1.0
208,"SWE","country","Sweden","Suecia (Reino De)","Sweden","Suecia",355.0,"Sweden",1.0,1.0
209,"SWZ","country","Swaziland","Swazilandia (Reino De)","Swaziland","Swazilandia",352.0,"Swaziland",0.0,0.0
210,"SXM","country","St-Martin / St Maarten","","St-Martin / St Maarten","",356.0,"St-Martin / St Maarten",0.0,0.0
211,"SYC","country","Seychelles","Seychelles (Republica De Las)","Seychelles","Seychelles",352.0,"Seychelles",1.0,0.0
212,"SYR","country","Syrian Arab Republic","Siria (Republica Arabe)","Syrian Arab Republic","Siria",353.0,"Syrian Arab Republic",0.0,1.0
213,"TCA","country","Turks and Caicos Islands","Turcas Y Caicos (Islas)","Turks and Caicos Islands","Turcas Y Caicos",356.0,"Turks and Caicos Islands",0.0,0.0
214,"TCD","country","Chad","Chad (Republica Del)","Chad","Chad",352.0,"Chad",0.0,0.0
215,"TGO","country","Togo","Togo (Republica Togolesa)","Togo","Togo",352.0,"Togo",0.0,0.0
216,"THA","country","Thailand","Tailandia (Reino De)","Thailand","Tailandia",353.0,"Thailand",1.0,1.0
217,"TJK","country","Tajikistan","Tadjikistan (Republica De)","Tajikistan","Tadjikistan",353.0,"Tajikistan",0.0,1.0
218,"TKL","country","Tokelau","Islas Tokelau","Tokelau","Islas Tokelau",354.0,"Tokelau",0.0,0.0
219,"TKM","country","Turkmenistan","Turkmenistan (Republica De)","Turkmenistan","Turkmenistan",353.0,"Turkmenistan",0.0,1.0
220,"TLS","country","Timor-Leste","Timor Oriental","Timor-Leste","Timor Oriental",353.0,"Timor-Leste",0.0,0.0
221,"TON","country","Tonga","Tonga (Reino De)","Tonga","Tonga",354.0,"Tonga",0.0,0.0
