"","code","level","name","parent_id","name_es","name_short_en","name_short_es"
242,"08832","municipality","Tubará",2.0,"Tubará","Tubará","Tubará"
243,"08849","municipality","Usiacurí",2.0,"Usiacurí","Usiacurí","Usiacurí"
244,"11001","municipality","Bogotá, D.C.",3.0,"Bogotá, D.C.","Bogotá, D.C.","Bogotá, D.C."
245,"13001","municipality","Cartagena De Indias",4.0,"Cartagena De Indias","Cartagena De Indias","Cartagena De Indias"
246,"13006","municipality","Achí",4.0,"Achí","Achí","Achí"
247,"13030","municipality","Altos Del Rosario",4.0,"Altos Del Rosario","Altos Del Rosario","Altos Del Rosario"
248,"13042","municipality","Arenal",4.0,"Arenal","Arenal","Arenal"
249,"13052","municipality","Arjona",4.0,"Arjona","Arjona","Arjona"
250,"13062","municipality","Arroyohondo",4.0,"Arroyohondo","Arroyohondo","Arroyohondo"
251,"13074","municipality","Barranco De Loba",4.0,"Barranco De Loba","Barranco De Loba","Barranco De Loba"
252,"13140","municipality","Calamar",4.0,"Calamar","Calamar","Calamar"
253,"13160","municipality","Cantagallo",4.0,"Cantagallo","Cantagallo","Cantagallo"
254,"13188","municipality","Cicuco",4.0,"Cicuco","Cicuco","Cicuco"
255,"13212","municipality","Córdoba",4.0,"Córdoba","Córdoba","Córdoba"
256,"13222","municipality","Clemencia",4.0,"Clemencia","Clemencia","Clemencia"
257,"13244","municipality","El Carmen De Bolívar",4.0,"El Carmen De Bolívar","El Carmen De Bolívar","El Carmen De Bolívar"
258,"13248","municipality","El Guamo",4.0,"El Guamo","El Guamo","El Guamo"
259,"13268","municipality","El Peñón",4.0,"El Peñón","El Peñón","El Peñón"
260,"13300","municipality","Hatillo De Loba",4.0,"Hatillo De Loba","Hatillo De Loba","Hatillo De Loba"
261,"13430","municipality","Magangué",4.0,"Magangué","Magangué","Magangué"
262,"13433","municipality","Mahates",4.0,"Mahates","Mahates","Mahates"
263,"13440","municipality","Margarita",4.0,"Margarita","Margarita","Margarita"
264,"13442","municipality","María La Baja",4.0,"María La Baja","María La Baja","María La Baja"
265,"13458","municipality","Montecristo",4.0,"Montecristo","Montecristo","Montecristo"
266,"13468","municipality","Mompós",4.0,"Mompós","Mompós","Mompós"
267,"13473","municipality","Morales",4.0,"Morales","Morales","Morales"
268,"13490","municipality","Norosí",4.0,"Norosí","Norosí","Norosí"
269,"13549","municipality","Pinillos",4.0,"Pinillos","Pinillos","Pinillos"
270,"13580","municipality","Regidor",4.0,"Regidor","Regidor","Regidor"
271,"13600","municipality","Río Viejo",4.0,"Río Viejo","Río Viejo","Río Viejo"
272,"13620","municipality","San Cristóbal",4.0,"San Cristóbal","San Cristóbal","San Cristóbal"
