code	level	name_en	name_short_en	name_es	name_short_es	Unnamed: 6
PEPA DE PAN	level3	Breadfruit	Breadfruit	Pepa De Pan	Pepa De Pan	
PITAHAYA	level3	Pitahaya	Pitahaya	Pitahaya	Pitahaya	
POMARROSA	level3	Rose Apples	Rose Apples	Pomarrosa	Pomarrosa	
TAMARINDO	level3	Tamarind	Tamarind	Tamarindo	Tamarindo	
UCHUVA	level3	Cape Gooseberry	Cape Gooseberry	Uchuva	Uchuva	
UMARI	level3	Umari	Umari	Umari	Umari	
UVA CAIMARONA	level3	Amazon Grape	Amazon Grape	Uva Caimarona	Uva Caimarona	
FRUTALES VARIOS	level3	Various Fruits	Various Fruits	Frutales Varios	Frutales Varios	
GRANADILLA	level3	Granadilla	Granadilla	Granadilla	Granadilla	
GUANABANA	level3	Soursop	Soursop	Guanabana	Guanabana	
GUAYABA	level3	Guava	Guava	Guayaba	Guayaba	
GUAYABA MANZANA	level3	Apple Guava	Apple Guava	Guayaba Manzana	Guayaba Manzana	
GUAYABA PERA	level3	Pear Guava	Guayaba Pera	Guayaba Pera	Guayaba Pera	
IRACA	level3	Iraca	Iraca	Iraca	Iraca	
LULO	level3	Lulo	Lulo	Lulo	Lulo	
MAIZ TECNIFICADO	level3	Modified Corn	Modified Corn	Maiz Tecnificado	Maiz Tecnificado	
MAIZ TRADICIONAL	level3	Traditional Maize	Traditional Maize	Maiz Tradicional	Maiz Tradicional	
MAIZ FORRAJERO	level3	Forage Maize	Forage Corn	Maiz Forrajero	Maiz Forrajero	
MAMEY	level3	Mamey	Mamey	Mamey	Mamey	
MANGO	level3	Mango	Mango	Mango	Mango	
MANGO INJERTO	level3	Injerto Mango	Injerto Mango	Mango Injerto	Mango Injerto	
MARACUYA	level3	Passion Fruit	Passion Fruit	Maracuya	Maracuya	
MELON	level3	Cantaloupe	Cantaloupe	Melon	Melon	
MIMBRE	level3	Wicker	Wicker	Mimbre	Mimbre	
MORA	level3	Blackberry	Blackberry	Mora	Mora	
NONI	level3	Noni	Noni	Noni	Noni	
MACADAMIA	level3	Macadamia Nut	Macadamia Nut	Macadamia	Macadamia	
MARAãON	level3	Marañon	Marañon	Marañon	Marañon	
PALMA AMARGA	level3	Armarga Palm	Armarga Palm	Palma Amarga	Palma Amarga	"""bitter palm"""
PAPAYA	level3	Papaya	Papaya	Papaya	Papaya	
PAPAYA HAWAIANA	level3	Hawaian Papaya	Hawaian Papaya	Papaya Hawaiana	Papaya Hawaiana	
PAPAYUELA	level3	Papayuela	Papayuela	Papayuela	Papayuela	
PATILLA	level3	Watermelon	Watermelon	Patilla	Patilla	
PIãA	level3	Pineapple	Pineapple	Piña	Piña	
QUINUA	level3	Quinoa	Quinoa	Quinua	Quinua	
RAMBUTAN	level3	Rambutan	Rambutan	Rambutan	Rambutan	
MILLO	level3	Millo	Millo	Millo	Millo	
SORGO	level3	Sorghum	Sorghum	Sorgo	Sorgo	
TOMATE DE ARBOL	level3	Tree Tomato	Tree Tomato	Tomate De Arbol	Tomate De Arbol	
TRIGO	level3	Wheat	Wheat	Trigo	Trigo	
UVA	level3	Grape	Grape	Uva	Uva	
