"","code","name","level","parent_id"
210,"2562","Entrenadores deportivos y directores técnicos","4digit",208.0
211,"2563","Árbitros y jueces deportivos","4digit",208.0
212,"26","Auxiliares y técnicos en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones","2digit",83.0
213,"261","Auxiliares y técnicos en ciencias físicas, matemáticas, biológicas, químicas, del medio ambiente y agronómicas","3digit",212.0
214,"2611","Auxiliares y técnicos en física, matemáticas, estadística y actuaría","4digit",213.0
215,"2612","Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente","4digit",213.0
216,"2613","Auxiliares y técnicos en agronomía","4digit",213.0
217,"2614","Auxiliares y técnicos en veterinaria, pesca y forestación","4digit",213.0
218,"262","Auxiliares y técnicos industriales, topógrafos, mineros y dibujantes técnicos","3digit",212.0
219,"2621","Auxiliares y técnicos industriales y químicos","4digit",218.0
220,"2622","Auxiliares y técnicos topógrafos, en hidrología y geología","4digit",218.0
221,"2623","Auxiliares y técnicos mineros, metalúrgicos y petroleros","4digit",218.0
222,"2624","Auxiliares y técnicos en construcción y arquitectura","4digit",218.0
223,"2625","Dibujantes técnicos","4digit",218.0
224,"263","Mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración","3digit",212.0
225,"2630","Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración","4digit",224.0
226,"2631","Técnicos en mantenimiento y reparación de vehículos de motor","4digit",224.0
227,"2632","Mecánicos en mantenimiento y reparación de vehículos de motor","4digit",224.0
228,"2633","Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales","4digit",224.0
229,"2634","Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales","4digit",224.0
230,"2635","Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales","4digit",224.0
231,"2636","Mecánicos en mantenimiento y reparación de instrumentos de precisión y musicales","4digit",224.0
232,"2637","Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado","4digit",224.0
233,"2638","Mecánicos en instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado.","4digit",224.0
234,"2639","Otras ocupaciones de mecánicos y técnicos en el mantenimiento y reparación de equipos mecánicos, vehículos de motor e instrumentos industriales, no clasificados anteriormente","4digit",224.0
235,"264","Técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos","3digit",212.0
236,"2640","Supervisores de técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos","4digit",235.0
237,"2641","Técnicos eléctricos","4digit",235.0
238,"2642","Electricistas y linieros","4digit",235.0
239,"2643","Técnicos en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)","4digit",235.0
240,"2644","Trabajadores en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)","4digit",235.0
241,"2645","Técnicos en reparación de equipos electromecánicos","4digit",235.0
242,"2646","Trabajadores en reparación de equipos electromecánicos","4digit",235.0
243,"2649","Otros técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos, no clasificados anteriormente","4digit",235.0
244,"265","Auxiliares y técnicos en informática y en equipos de comunicaciones y grabación","3digit",212.0
245,"2651","Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales","4digit",244.0
246,"2652","Técnicos en operaciones de equipos de radio","4digit",244.0
247,"2653","Auxiliares y técnicos de equipos de grabación y reproducción de video","4digit",244.0
248,"2654","Auxiliares y técnicos de ingeniería de audio, sonido e iluminación","4digit",244.0
249,"2655","Fotógrafos","4digit",244.0
250,"266","Controladores de tráfico aéreo y de otros transportes","3digit",212.0
251,"2661","Controladores de tráfico aéreo","4digit",250.0
252,"2662","Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo)","4digit",250.0
253,"27","Auxiliares y técnicos en educación, instructores y capacitadores","2digit",83.0
254,"271","Auxiliares y técnicos en educación, instructores y capacitadores","3digit",253.0
255,"2711","Auxiliares y técnicos en pedagogía y en educación","4digit",254.0
256,"2712","Instructores en estudios y capacitación artística","4digit",254.0
257,"2713","Instructores en estudios y capacitación comercial y administrativa","4digit",254.0
258,"2714","Instructores en idiomas extranjeros","4digit",254.0
259,"2715","Instructores y capacitadores en oficios y para el trabajo","4digit",254.0
260,"2716","Profesores en educación física y deporte","4digit",254.0
261,"28","Enfermeras, técnicos en medicina y trabajadores de apoyo en salud","2digit",83.0
262,"281","Enfermeras y técnicos en medicina","3digit",261.0
263,"2811","Enfermeras (técnicas)","4digit",262.0
264,"2812","Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas","4digit",262.0
265,"2813","Técnicos de laboratorios médicos","4digit",262.0
266,"2814","Técnicos y asistentes farmacéuticos","4digit",262.0
267,"2815","Técnicos de prótesis médicas y dentales","4digit",262.0
